Database data_candlestick.sqlite3 created and successfully connected to SQLite
SQLite version is:  [('3.22.0',)]
2020-05-17 22:52:00,0.00,0.00
2020-05-17 23:09:00,-0.59,-0.42
2020-05-17 23:10:00,-0.87,-0.61
2020-05-17 23:12:00,-0.87,-0.61
2020-05-17 23:13:00,-0.87,-0.61
2020-05-17 23:14:00,-0.87,-0.61
2020-05-17 23:15:00,-0.87,-0.61
2020-05-17 23:16:00,-0.62,-0.43
2020-05-17 23:18:00,-0.62,-0.53
2020-05-17 23:19:00,-0.63,-0.53
2020-05-17 23:20:00,-0.62,-0.53
2020-05-17 23:21:00,-0.62,-0.53
2020-05-17 23:23:00,-0.63,-0.64
2020-05-17 23:24:00,-0.62,-0.63
2020-05-17 23:25:00,-0.62,-0.63
2020-05-17 23:27:00,-0.63,-0.64
2020-05-17 23:28:00,-0.63,-0.64
2020-05-17 23:29:00,-0.63,-0.64
2020-05-17 23:31:00,-0.63,-0.64
2020-05-17 23:33:00,0.21,0.20
2020-05-17 23:35:00,0.21,0.20
2020-05-17 23:37:00,0.21,0.20
2020-05-17 23:38:00,0.22,0.21
2020-05-17 23:39:00,0.21,0.20
2020-05-17 23:40:00,0.21,0.20
2020-05-17 23:41:00,0.46,0.45
2020-05-17 23:42:00,0.46,0.45
2020-05-17 23:44:00,0.18,0.17
2020-05-17 23:45:00,0.18,0.17
2020-05-17 23:46:00,0.18,0.17
2020-05-17 23:47:00,0.18,0.07
2020-05-17 23:48:00,0.18,0.07
2020-05-17 23:50:00,0.18,0.07
2020-05-17 23:51:00,1.04,0.07
2020-05-17 23:52:00,1.04,0.07
2020-05-17 23:54:00,0.18,-0.88
2020-05-17 23:56:00,0.18,-0.88
2020-05-17 23:57:00,0.18,-0.98
2020-05-17 23:59:00,0.18,-0.98
2020-05-18 00:00:00,0.19,-0.98
2020-05-18 00:01:00,0.18,-0.98
2020-05-18 00:02:00,0.18,-0.98
2020-05-18 00:04:00,0.19,-0.98
2020-05-18 00:05:00,0.18,-0.98
2020-05-18 00:06:00,0.18,-0.98
2020-05-18 00:07:00,0.19,-0.98
2020-05-18 00:08:00,0.19,-0.98
2020-05-18 00:09:00,0.19,-0.98
2020-05-18 00:11:00,0.18,-0.98
2020-05-18 00:13:00,0.18,-0.98
2020-05-18 00:15:00,-0.07,-0.98
2020-05-18 00:16:00,-0.06,-0.98
2020-05-18 00:17:00,-0.07,-0.98
2020-05-18 00:18:00,0.18,-0.98
2020-05-18 00:19:00,0.18,-0.98
2020-05-18 00:21:00,0.18,-0.98
2020-05-18 00:22:00,0.49,-0.78
2020-05-18 00:23:00,0.49,-0.78
2020-05-18 00:25:00,0.19,-1.08
2020-05-18 00:26:00,-0.07,-1.33
2020-05-18 00:27:00,0.18,-1.09
2020-05-18 00:29:00,0.19,-1.08
2020-05-18 00:31:00,0.18,-1.08
2020-05-18 00:32:00,0.19,-1.08
2020-05-18 00:33:00,0.18,-1.08
2020-05-18 00:34:00,0.19,-1.08
2020-05-18 00:35:00,0.18,-1.09
2020-05-18 00:36:00,0.18,-1.08
2020-05-18 00:37:00,0.18,-1.08
2020-05-18 00:39:00,0.19,-1.08
2020-05-18 00:40:00,0.18,-1.08
2020-05-18 00:42:00,0.49,-0.77
2020-05-18 00:43:00,0.49,-0.78
2020-05-18 00:44:00,0.48,-0.79
2020-05-18 00:45:00,0.49,-0.77
2020-05-18 00:46:00,0.48,-0.79
2020-05-18 00:47:00,0.49,-0.77
2020-05-18 00:48:00,0.49,-0.78
2020-05-18 00:50:00,0.49,-0.78
2020-05-18 00:52:00,0.48,-0.79
2020-05-18 00:53:00,0.49,-0.78
2020-05-18 00:54:00,0.48,-0.79
2020-05-18 00:55:00,0.49,-0.78
2020-05-18 00:56:00,0.49,-0.78
2020-05-18 00:57:00,0.18,-1.09
2020-05-18 00:58:00,0.18,-1.09
2020-05-18 00:59:00,0.19,-1.19
2020-05-18 01:00:00,0.19,-1.19
2020-05-18 01:01:00,0.18,-1.19
2020-05-18 01:02:00,0.18,-1.19
2020-05-18 01:03:00,0.18,-1.19
2020-05-18 01:04:00,0.49,-1.19
2020-05-18 01:06:00,0.48,-1.19
2020-05-18 01:07:00,0.49,-1.28
2020-05-18 01:09:00,0.77,-1.01
2020-05-18 01:11:00,0.77,-1.01
2020-05-18 01:12:00,2.43,0.63
2020-05-18 01:13:00,2.43,0.62
2020-05-18 01:15:00,2.43,0.62
2020-05-18 01:16:00,2.43,0.63
2020-05-18 01:17:00,2.43,0.63
2020-05-18 01:19:00,2.43,0.63
2020-05-18 01:20:00,2.43,0.62
2020-05-18 01:22:00,2.44,0.64
2020-05-18 01:23:00,2.43,0.63
2020-05-18 01:24:00,2.43,0.62
2020-05-18 01:25:00,2.43,0.63
2020-05-18 01:26:00,2.99,1.18
2020-05-18 01:27:00,2.99,1.18
2020-05-18 01:28:00,2.64,0.84
2020-05-18 01:29:00,2.12,0.32
2020-05-18 01:31:00,2.13,0.33
2020-05-18 01:35:00,2.13,0.23
2020-05-18 01:47:00,3.30,0.23
2020-05-18 01:48:00,3.30,0.23
2020-05-18 01:49:00,3.30,0.13
2020-05-18 01:50:00,3.82,0.63
2020-05-18 01:51:00,3.82,0.63
2020-05-18 01:52:00,4.37,1.17
2020-05-18 01:53:00,3.82,0.63
2020-05-18 01:54:00,3.82,0.63
2020-05-18 01:55:00,3.82,0.63
2020-05-18 01:56:00,4.37,1.17
2020-05-18 01:57:00,4.65,1.44
2020-05-18 01:58:00,5.49,2.25
2020-05-18 01:59:00,5.49,2.25
2020-05-18 02:00:00,5.49,2.25
2020-05-18 02:01:00,6.46,3.20
2020-05-18 02:02:00,6.46,3.20
2020-05-18 02:03:00,6.04,2.79
2020-05-18 02:21:00,5.76,2.51
2020-05-18 02:26:00,5.76,2.51
2020-05-18 02:35:00,5.76,2.51
2020-05-18 02:38:00,5.76,2.51
2020-05-18 02:40:00,5.76,2.41
2020-05-18 02:42:00,5.76,2.41
2020-05-18 02:51:00,5.76,2.41
2020-05-18 03:00:00,5.76,2.41
2020-05-18 03:01:00,5.76,2.41
2020-05-18 03:02:00,5.76,2.41
2020-05-18 03:04:00,4.93,2.41
2020-05-18 03:30:00,4.93,2.41
2020-05-18 03:31:00,4.93,2.41
2020-05-18 03:32:00,4.93,2.41
2020-05-18 03:33:00,4.70,2.41
2020-05-18 03:38:00,4.70,2.41
2020-05-18 03:39:00,4.81,2.41
2020-05-18 03:41:00,4.81,2.41
2020-05-18 03:43:00,4.82,2.41
2020-05-18 03:44:00,4.82,2.41
2020-05-18 03:45:00,4.81,2.41
2020-05-18 03:46:00,4.81,2.41
2020-05-18 03:47:00,4.81,2.41
2020-05-18 03:49:00,4.82,2.41
2020-05-18 03:51:00,4.81,2.41
2020-05-18 03:52:00,4.81,2.41
2020-05-18 03:53:00,4.81,2.41
2020-05-18 03:54:00,4.81,2.41
2020-05-18 03:55:00,4.81,2.41
2020-05-18 03:56:00,4.81,2.41
2020-05-18 03:57:00,4.81,2.41
2020-05-18 03:58:00,4.82,2.41
2020-05-18 04:00:00,4.81,2.41
2020-05-18 04:01:00,4.81,2.41
2020-05-18 04:03:00,4.81,2.41
2020-05-18 04:04:00,4.81,2.41
2020-05-18 04:05:00,4.70,2.41
2020-05-18 04:06:00,4.81,2.41
2020-05-18 04:07:00,4.81,2.41
2020-05-18 04:08:00,4.82,2.41
2020-05-18 04:10:00,4.81,2.41
2020-05-18 04:11:00,4.82,2.41
2020-05-18 04:13:00,4.70,2.41
2020-05-18 04:14:00,4.81,2.41
2020-05-18 04:20:00,4.70,2.41
2020-05-18 04:32:00,3.83,2.41
2020-05-18 04:33:00,3.69,2.41
2020-05-18 04:34:00,3.69,2.41
2020-05-18 04:35:00,3.68,2.41
2020-05-18 04:37:00,3.68,2.41
2020-05-18 04:39:00,3.69,2.41
2020-05-18 04:40:00,3.69,2.41
2020-05-18 04:41:00,3.59,2.41
2020-05-18 04:42:00,3.59,2.41
2020-05-18 04:43:00,3.59,2.41
2020-05-18 04:44:00,3.59,2.41
2020-05-18 04:45:00,3.59,2.41
2020-05-18 04:46:00,3.59,2.41
2020-05-18 04:48:00,3.90,2.41
2020-05-18 05:06:00,3.59,2.41
2020-05-18 05:07:00,3.59,2.41
2020-05-18 05:08:00,3.55,2.41
2020-05-18 05:09:00,3.58,2.41
2020-05-18 05:11:00,3.59,2.41
2020-05-18 05:13:00,3.58,2.41
2020-05-18 05:14:00,3.59,2.41
2020-05-18 05:16:00,3.59,2.41
2020-05-18 05:17:00,3.59,2.41
2020-05-18 05:18:00,3.59,2.41
2020-05-18 05:20:00,3.59,2.41
2020-05-18 05:21:00,3.59,2.41
2020-05-18 05:22:00,3.59,2.41
2020-05-18 05:23:00,3.59,2.41
2020-05-18 05:24:00,3.59,2.41
2020-05-18 05:25:00,3.59,2.41
2020-05-18 05:27:00,3.58,2.41
2020-05-18 05:28:00,3.59,2.41
2020-05-18 05:29:00,3.59,2.41
2020-05-18 05:30:00,3.59,2.41
2020-05-18 05:31:00,3.59,2.41
2020-05-18 05:32:00,3.59,2.41
2020-05-18 05:33:00,3.59,2.41
2020-05-18 05:35:00,3.28,2.41
2020-05-18 05:52:00,3.43,2.41
2020-05-18 05:53:00,3.43,2.41
2020-05-18 05:54:00,3.44,2.41
2020-05-18 05:56:00,3.59,2.41
2020-05-18 05:57:00,3.58,2.41
2020-05-18 05:58:00,3.59,2.41
2020-05-18 05:59:00,3.59,2.41
2020-05-18 06:00:00,3.58,2.41
2020-05-18 06:01:00,3.58,2.41
2020-05-18 06:02:00,3.59,2.41
2020-05-18 06:03:00,3.58,2.41
2020-05-18 06:05:00,3.58,2.41
2020-05-18 06:06:00,3.59,2.41
2020-05-18 06:07:00,3.59,2.41
2020-05-18 06:08:00,3.59,2.41
2020-05-18 06:09:00,3.59,2.41
2020-05-18 06:10:00,3.59,2.41
2020-05-18 06:11:00,3.58,2.41
2020-05-18 06:12:00,3.59,2.41
2020-05-18 06:14:00,3.59,2.41
2020-05-18 06:16:00,3.59,2.41
2020-05-18 06:17:00,3.59,2.41
2020-05-18 06:18:00,3.59,2.41
2020-05-18 06:19:00,3.58,2.41
2020-05-18 06:20:00,3.59,2.41
2020-05-18 06:21:00,3.59,2.41
2020-05-18 06:23:00,3.58,2.41
2020-05-18 06:25:00,3.58,2.41
2020-05-18 06:26:00,3.59,2.41
2020-05-18 06:28:00,3.28,2.41
2020-05-18 06:44:00,3.28,2.41
2020-05-18 07:00:00,3.28,2.41
2020-05-18 07:03:00,3.27,2.41
2020-05-18 07:09:00,3.27,2.41
2020-05-18 07:10:00,3.27,2.41
2020-05-18 07:17:00,2.76,2.41
2020-05-18 07:19:00,2.63,2.41
2020-05-18 07:21:00,2.63,2.41
2020-05-18 07:23:00,2.64,2.41
2020-05-18 07:24:00,2.63,2.41
2020-05-18 07:25:00,2.64,2.41
2020-05-18 07:26:00,2.63,2.41
2020-05-18 07:27:00,2.63,2.41
2020-05-18 07:29:00,2.64,2.41
2020-05-18 07:30:00,2.64,2.41
2020-05-18 07:32:00,2.64,2.41
2020-05-18 07:33:00,2.63,2.41
2020-05-18 07:34:00,2.63,2.41
2020-05-18 07:36:00,2.63,2.41
2020-05-18 07:37:00,2.63,2.41
2020-05-18 07:39:00,2.63,2.41
2020-05-18 07:41:00,2.64,2.41
2020-05-18 07:42:00,2.63,2.41
2020-05-18 07:43:00,2.64,2.41
2020-05-18 07:45:00,2.63,2.41
2020-05-18 07:46:00,2.63,2.41
2020-05-18 07:47:00,2.63,2.41
2020-05-18 07:48:00,2.63,2.41
2020-05-18 07:50:00,2.64,2.41
2020-05-18 07:51:00,2.64,2.41
2020-05-18 07:52:00,2.63,2.41
2020-05-18 07:54:00,2.63,2.41
2020-05-18 07:56:00,2.63,2.41
2020-05-18 07:57:00,2.63,2.41
2020-05-18 07:58:00,2.63,2.41
2020-05-18 07:59:00,2.64,2.41
2020-05-18 08:01:00,2.64,2.41
2020-05-18 08:03:00,2.64,2.41
2020-05-18 08:04:00,2.64,2.41
2020-05-18 08:06:00,2.63,2.41
2020-05-18 08:07:00,2.63,2.41
2020-05-18 08:08:00,2.63,2.41
2020-05-18 08:10:00,2.63,2.41
2020-05-18 08:11:00,2.63,2.41
2020-05-18 08:12:00,2.64,2.41
2020-05-18 08:14:00,2.64,2.41
2020-05-18 08:15:00,2.64,2.41
